Height_cm,Leaf_Count,New_Growth_Count,Watering_Amount_ml,Watering_Frequency_days,Sunlight_Exposure,Room_Temperature_C,Humidity_%,Fertilizer_Type,Fertilizer_Amount_ml,Pest_Presence,Pest_Severity,Soil_Moisture_%,Soil_Type,Health_Score
32.82,36.0,5.0,381.0,2.0,Filtered sunlight through curtain,24.4,52.4,Organic,18.0,Fungus gnats,Low,25.7,Peaty,1.0
30.68,39.0,7.0,362.0,6.0,Low light corner,16.9,61.3,Organic,58.0,Fungus gnats,Low,43.3,Clay,1.0
35.03,19.0,5.0,412.0,4.0,3h direct morning sun,18.5,37.3,Organic,54.0,Spider mites,Low,52.0,Silty,5.0
18.72,9.0,3.0,205.0,4.0,Low light corner,25.8,39.4,Chemical,29.0,Fungus gnats,Moderate,28.0,Clay,4.0
28.4,10.0,3.0,429.0,5.0,6h full sun,27.1,73.0,Liquid feed,78.0,Aphids,Low,31.3,Chalky,2.0
19.58,29.0,5.0,248.0,2.0,Indirect light all day,21.3,42.8,Compost,35.0,Spider mites,Moderate,59.1,Chalky,3.0
14.42,44.0,3.0,456.0,4.0,Indirect light all day,23.3,49.0,Chemical,54.0,Spider mites,Low,49.2,Loamy,4.0
24.59,33.0,7.0,211.0,5.0,Indirect light all day,24.9,73.6,Organic,43.0,Aphids,Moderate,54.9,Silty,3.0
15.77,11.0,8.0,444.0,4.0,3h direct morning sun,26.1,63.2,Chemical,26.0,Whiteflies,High,31.9,Sandy,4.0
36.74,44.0,0.0,283.0,4.0,6h full sun,17.9,47.1,Chemical,76.0,Whiteflies,Moderate,21.7,Clay,1.0
16.38,17.0,3.0,212.0,6.0,Filtered sunlight through curtain,21.3,64.2,Chemical,77.0,Whiteflies,Moderate,30.6,Peaty,5.0
28.64,42.0,3.0,165.0,6.0,Indirect light all day,23.0,31.0,Chemical,53.0,Fungus gnats,High,45.8,Silty,3.0
18.97,22.0,1.0,142.0,4.0,6h full sun,26.1,66.8,Chemical,47.0,Aphids,Low,15.5,Loamy,4.0
27.77,6.0,5.0,91.0,3.0,Low light corner,31.5,54.4,Organic,29.0,Spider mites,High,23.5,Peaty,5.0
19.76,12.0,2.0,333.0,6.0,3h direct morning sun,23.3,70.7,Chemical,38.0,Spider mites,Low,12.3,Clay,3.0
12.43,15.0,6.0,428.0,2.0,6h full sun,19.8,77.7,Organic,12.0,Spider mites,Moderate,31.6,Silty,2.0
29.84,37.0,4.0,259.0,5.0,6h full sun,25.2,76.3,Chemical,15.0,Fungus gnats,Low,51.4,Clay,4.0
22.65,42.0,3.0,255.0,5.0,Filtered sunlight through curtain,28.0,75.5,Chemical,43.0,Fungus gnats,Moderate,11.2,Silty,2.0
27.86,31.0,4.0,269.0,2.0,6h full sun,24.3,55.6,Chemical,70.0,Whiteflies,Low,43.8,Silty,1.0
20.71,24.0,7.0,329.0,2.0,Filtered sunlight through curtain,21.3,48.0,Organic,26.0,Fungus gnats,Moderate,56.6,Clay,2.0
11.72,16.0,2.0,185.0,2.0,3h direct morning sun,26.9,53.3,Compost,44.0,Whiteflies,Moderate,21.8,Clay,2.0
35.83,47.0,6.0,155.0,2.0,3h direct morning sun,26.0,64.5,Organic,34.0,Whiteflies,Low,44.7,Peaty,4.0
32.37,35.0,5.0,167.0,1.0,Low light corner,20.9,74.2,Compost,78.0,Spider mites,Low,58.8,Loamy,1.0
19.33,31.0,0.0,286.0,5.0,Filtered sunlight through curtain,25.1,40.3,Chemical,27.0,Fungus gnats,Low,58.1,Clay,2.0
25.7,36.0,6.0,358.0,1.0,Filtered sunlight through curtain,27.0,75.9,Chemical,98.0,Whiteflies,Low,21.7,Chalky,5.0
35.42,14.0,6.0,437.0,4.0,Indirect light all day,27.5,70.8,Organic,6.0,Aphids,Moderate,15.0,Loamy,3.0
20.43,7.0,0.0,149.0,4.0,Indirect light all day,23.8,78.9,Compost,61.0,Aphids,Moderate,17.4,Chalky,2.0
21.98,49.0,8.0,310.0,5.0,Low light corner,22.9,74.0,Compost,50.0,Fungus gnats,Low,45.1,Peaty,1.0
27.44,31.0,5.0,354.0,4.0,3h direct morning sun,27.7,44.0,Compost,45.0,Spider mites,Low,46.3,Clay,2.0
20.41,39.0,1.0,403.0,2.0,Indirect light all day,20.4,35.3,Chemical,19.0,Spider mites,High,43.7,Loamy,3.0
33.57,35.0,4.0,335.0,1.0,6h full sun,25.3,35.6,Organic,95.0,Whiteflies,Moderate,26.8,Clay,1.0
23.31,19.0,3.0,377.0,2.0,3h direct morning sun,19.9,44.6,Liquid feed,37.0,Fungus gnats,High,18.5,Silty,4.0
17.16,20.0,6.0,152.0,4.0,6h full sun,27.2,60.7,Compost,60.0,Aphids,Low,39.0,Clay,1.0
31.09,17.0,7.0,112.0,6.0,Filtered sunlight through curtain,23.2,70.2,Compost,31.0,Whiteflies,High,34.2,Loamy,4.0
13.58,39.0,0.0,224.0,1.0,3h direct morning sun,27.8,75.0,Liquid feed,25.0,Whiteflies,Low,46.4,Clay,1.0
45.15,15.0,4.0,331.0,2.0,Low light corner,25.5,61.2,Organic,57.0,Whiteflies,Low,32.1,Clay,3.0
40.82,25.0,2.0,490.0,5.0,Filtered sunlight through curtain,20.3,30.3,Compost,38.0,Fungus gnats,Low,26.9,Sandy,3.0
30.13,15.0,0.0,342.0,2.0,Filtered sunlight through curtain,28.3,39.3,Organic,19.0,Whiteflies,Low,24.7,Sandy,1.0
29.29,34.0,2.0,275.0,6.0,6h full sun,28.7,35.0,Compost,81.0,Aphids,High,20.6,Loamy,2.0
28.82,39.0,5.0,56.0,4.0,Filtered sunlight through curtain,26.6,48.2,Chemical,49.0,Whiteflies,High,23.3,Loamy,3.0
20.11,26.0,6.0,176.0,1.0,Indirect light all day,21.7,55.1,Compost,78.0,Aphids,High,14.7,Silty,4.0
27.97,42.0,7.0,473.0,5.0,3h direct morning sun,23.1,32.2,Chemical,51.0,Spider mites,Low,27.3,Silty,4.0
15.77,35.0,3.0,141.0,1.0,Indirect light all day,24.4,47.4,Organic,85.0,Whiteflies,Low,11.8,Clay,5.0
30.04,18.0,2.0,472.0,5.0,6h full sun,21.9,39.0,Compost,21.0,Whiteflies,Moderate,19.3,Chalky,4.0
33.68,28.0,4.0,239.0,1.0,6h full sun,29.1,62.4,Chemical,52.0,Whiteflies,Moderate,47.3,Loamy,5.0
21.22,36.0,8.0,408.0,4.0,3h direct morning sun,24.4,53.2,Chemical,84.0,Spider mites,Low,26.3,Clay,1.0
19.05,40.0,5.0,102.0,5.0,Filtered sunlight through curtain,15.9,54.8,Liquid feed,65.0,Whiteflies,Moderate,43.4,Chalky,1.0
12.88,36.0,8.0,291.0,3.0,Low light corner,25.0,51.4,Chemical,42.0,Fungus gnats,Low,45.8,Sandy,1.0
39.58,19.0,5.0,181.0,1.0,6h full sun,23.0,77.8,Chemical,81.0,Aphids,Low,39.1,Silty,2.0
19.84,47.0,1.0,413.0,1.0,3h direct morning sun,23.8,40.7,Chemical,22.0,Aphids,Low,57.9,Loamy,2.0
23.01,39.0,4.0,161.0,2.0,Low light corner,22.9,55.8,Chemical,76.0,Whiteflies,High,11.1,Clay,5.0
28.0,7.0,8.0,458.0,5.0,Filtered sunlight through curtain,26.4,66.8,Chemical,63.0,Aphids,Low,46.9,Sandy,4.0
27.82,20.0,7.0,56.0,6.0,6h full sun,27.4,57.8,Compost,8.0,Aphids,Low,57.9,Peaty,4.0
32.47,9.0,6.0,279.0,3.0,3h direct morning sun,24.8,76.5,Liquid feed,6.0,Fungus gnats,High,53.1,Sandy,1.0
21.21,25.0,0.0,205.0,4.0,3h direct morning sun,23.0,48.9,Organic,40.0,Spider mites,Moderate,18.4,Clay,3.0
13.61,14.0,3.0,246.0,2.0,3h direct morning sun,23.9,53.2,Liquid feed,53.0,Whiteflies,High,26.3,Silty,2.0
11.86,23.0,6.0,372.0,3.0,6h full sun,24.1,34.4,Chemical,64.0,Whiteflies,Moderate,18.6,Chalky,2.0
19.21,29.0,6.0,413.0,5.0,Low light corner,21.6,60.4,Compost,1.0,Whiteflies,Moderate,40.1,Peaty,1.0
15.48,8.0,5.0,272.0,3.0,3h direct morning sun,25.7,44.4,Compost,3.0,Fungus gnats,High,45.6,Peaty,2.0
21.96,33.0,7.0,416.0,1.0,Filtered sunlight through curtain,25.4,38.0,Chemical,77.0,Fungus gnats,Moderate,25.9,Silty,1.0
38.08,23.0,5.0,299.0,1.0,3h direct morning sun,28.6,57.2,Chemical,31.0,Whiteflies,Low,37.0,Peaty,5.0
21.23,47.0,9.0,453.0,2.0,Low light corner,27.8,56.6,Chemical,99.0,Spider mites,Low,44.5,Loamy,4.0
21.22,6.0,2.0,132.0,5.0,6h full sun,21.9,33.8,Compost,1.0,Whiteflies,Moderate,31.1,Clay,3.0
24.84,14.0,3.0,289.0,5.0,3h direct morning sun,26.5,64.9,Organic,63.0,Fungus gnats,Low,52.7,Peaty,4.0
20.94,47.0,2.0,429.0,3.0,3h direct morning sun,21.1,61.2,Liquid feed,13.0,Whiteflies,High,48.6,Sandy,4.0
24.33,29.0,0.0,444.0,2.0,Filtered sunlight through curtain,26.1,39.5,Compost,19.0,Aphids,Moderate,13.2,Chalky,5.0
30.41,24.0,9.0,409.0,5.0,Filtered sunlight through curtain,22.5,53.5,Organic,88.0,Whiteflies,Low,41.1,Clay,2.0
33.85,23.0,4.0,372.0,6.0,3h direct morning sun,20.9,66.0,Organic,48.0,Spider mites,Moderate,21.8,Silty,3.0
35.03,27.0,0.0,312.0,6.0,3h direct morning sun,24.8,56.5,Liquid feed,7.0,Spider mites,High,37.9,Sandy,2.0
45.57,28.0,0.0,456.0,1.0,Filtered sunlight through curtain,16.0,49.8,Organic,91.0,Whiteflies,Low,57.8,Loamy,4.0
30.69,15.0,1.0,238.0,3.0,Low light corner,18.7,46.1,Chemical,62.0,Aphids,Moderate,54.0,Peaty,1.0
47.34,38.0,3.0,415.0,4.0,Indirect light all day,23.5,60.5,Organic,45.0,Spider mites,Low,30.2,Sandy,4.0
17.24,32.0,5.0,339.0,1.0,Indirect light all day,24.2,77.0,Chemical,20.0,Fungus gnats,Moderate,24.6,Clay,2.0
45.91,9.0,7.0,411.0,2.0,3h direct morning sun,22.9,63.6,Organic,86.0,Whiteflies,Moderate,21.7,Sandy,4.0
21.2,9.0,2.0,452.0,5.0,Filtered sunlight through curtain,19.3,33.7,Chemical,31.0,Aphids,High,36.6,Loamy,1.0
22.18,25.0,0.0,107.0,1.0,6h full sun,21.5,53.0,Organic,7.0,Fungus gnats,Moderate,15.7,Chalky,5.0
23.8,16.0,2.0,58.0,4.0,6h full sun,25.2,74.5,Chemical,94.0,Whiteflies,Low,37.5,Peaty,2.0
22.81,8.0,2.0,353.0,4.0,Indirect light all day,25.7,34.7,Organic,15.0,Aphids,Low,10.1,Clay,4.0
25.86,46.0,4.0,164.0,6.0,Low light corner,24.0,79.4,Organic,39.0,Fungus gnats,Low,26.2,Peaty,2.0
19.2,24.0,3.0,259.0,2.0,Indirect light all day,27.5,77.5,Organic,26.0,Spider mites,Low,21.0,Peaty,5.0
33.3,42.0,3.0,90.0,1.0,3h direct morning sun,25.2,33.9,Chemical,17.0,Whiteflies,Low,58.6,Silty,4.0
19.47,29.0,8.0,353.0,3.0,Low light corner,21.8,76.7,Organic,34.0,Whiteflies,Low,46.4,Peaty,4.0
31.56,18.0,6.0,222.0,1.0,6h full sun,23.2,48.2,Liquid feed,51.0,Spider mites,Low,27.5,Sandy,2.0
40.28,15.0,3.0,283.0,6.0,Filtered sunlight through curtain,19.8,72.2,Liquid feed,14.0,Whiteflies,Low,14.6,Sandy,2.0
21.43,36.0,2.0,330.0,4.0,Filtered sunlight through curtain,23.7,50.9,Chemical,62.0,Fungus gnats,Low,35.8,Chalky,1.0
32.94,15.0,5.0,421.0,2.0,3h direct morning sun,27.3,52.0,Chemical,52.0,Spider mites,Low,20.7,Loamy,5.0
30.59,22.0,2.0,127.0,2.0,Indirect light all day,26.1,61.7,Liquid feed,90.0,Whiteflies,High,36.8,Clay,1.0
47.53,31.0,5.0,157.0,3.0,3h direct morning sun,28.2,68.7,Compost,80.0,Fungus gnats,High,51.8,Sandy,4.0
19.95,22.0,8.0,330.0,2.0,Filtered sunlight through curtain,23.1,31.7,Liquid feed,65.0,Fungus gnats,Low,40.8,Peaty,2.0
32.95,27.0,5.0,452.0,6.0,6h full sun,28.0,59.7,Compost,30.0,Whiteflies,Moderate,41.7,Loamy,4.0
8.74,15.0,3.0,88.0,6.0,Filtered sunlight through curtain,23.4,39.3,Chemical,60.0,Whiteflies,Low,37.1,Clay,4.0
20.04,25.0,4.0,168.0,6.0,Low light corner,28.4,47.3,Chemical,63.0,Aphids,High,56.4,Clay,3.0
28.53,48.0,5.0,384.0,2.0,Filtered sunlight through curtain,23.9,47.4,Compost,97.0,Whiteflies,Low,56.6,Clay,3.0
38.93,9.0,2.0,385.0,2.0,Filtered sunlight through curtain,26.1,53.5,Compost,33.0,Whiteflies,Moderate,35.6,Clay,4.0
12.74,27.0,7.0,76.0,6.0,Low light corner,28.4,46.7,Liquid feed,54.0,Aphids,Moderate,25.3,Chalky,2.0
32.86,45.0,3.0,153.0,2.0,Indirect light all day,23.4,35.4,Compost,58.0,Aphids,Low,33.0,Clay,4.0
24.37,29.0,7.0,123.0,2.0,Filtered sunlight through curtain,24.7,37.3,Chemical,2.0,Whiteflies,Moderate,19.3,Loamy,3.0
9.78,45.0,9.0,240.0,4.0,3h direct morning sun,27.9,31.7,Chemical,16.0,Fungus gnats,Low,41.8,Sandy,2.0
26.82,14.0,9.0,373.0,1.0,Filtered sunlight through curtain,23.6,53.5,Chemical,77.0,Spider mites,High,35.0,Loamy,4.0
42.09,26.0,2.0,196.0,5.0,3h direct morning sun,20.0,77.7,Liquid feed,77.0,Spider mites,Moderate,15.2,Peaty,5.0
13.8,23.0,9.0,304.0,2.0,Low light corner,30.4,35.8,Chemical,45.0,Whiteflies,Moderate,19.9,Silty,5.0
23.9,5.0,6.0,333.0,5.0,Filtered sunlight through curtain,22.6,77.3,Liquid feed,37.0,Fungus gnats,Low,34.0,Chalky,4.0
15.13,11.0,8.0,262.0,5.0,Low light corner,24.5,66.7,Chemical,34.0,Aphids,Low,54.4,Chalky,2.0
20.31,8.0,3.0,172.0,4.0,Low light corner,27.5,61.9,Liquid feed,0.0,Whiteflies,High,38.3,Peaty,4.0
39.32,5.0,7.0,255.0,2.0,Indirect light all day,22.2,62.3,Chemical,28.0,Whiteflies,Low,44.1,Loamy,4.0
22.28,19.0,2.0,466.0,6.0,Filtered sunlight through curtain,21.0,71.3,Organic,3.0,Fungus gnats,Low,27.0,Loamy,3.0
39.02,44.0,6.0,289.0,5.0,3h direct morning sun,24.8,35.3,Organic,60.0,Whiteflies,High,38.6,Peaty,5.0
36.09,16.0,2.0,443.0,2.0,3h direct morning sun,18.6,55.2,Compost,96.0,Whiteflies,Low,32.4,Silty,3.0
21.37,26.0,6.0,388.0,3.0,Filtered sunlight through curtain,23.1,64.9,Chemical,16.0,Whiteflies,Low,43.0,Clay,3.0
19.97,26.0,9.0,335.0,6.0,Indirect light all day,24.7,59.3,Organic,27.0,Fungus gnats,Low,12.5,Clay,4.0
16.04,21.0,9.0,71.0,3.0,Indirect light all day,23.2,71.6,Chemical,49.0,Whiteflies,High,34.7,Sandy,3.0
15.69,33.0,5.0,308.0,3.0,Indirect light all day,19.4,33.6,Liquid feed,89.0,Fungus gnats,Low,24.8,Loamy,5.0
28.53,18.0,1.0,406.0,5.0,3h direct morning sun,28.8,64.5,Liquid feed,7.0,Spider mites,High,26.3,Loamy,3.0
24.8,24.0,2.0,154.0,3.0,Low light corner,24.3,56.7,Compost,33.0,Whiteflies,Low,58.0,Peaty,5.0
18.76,37.0,5.0,481.0,4.0,Indirect light all day,28.3,49.0,Liquid feed,58.0,Whiteflies,Low,19.1,Peaty,3.0
9.51,47.0,3.0,307.0,4.0,3h direct morning sun,23.2,47.0,Organic,17.0,Fungus gnats,High,25.6,Clay,5.0
26.06,19.0,5.0,253.0,5.0,3h direct morning sun,21.4,61.0,Liquid feed,94.0,Spider mites,Moderate,35.5,Loamy,3.0
20.3,16.0,0.0,359.0,2.0,Low light corner,24.8,74.5,Organic,58.0,Whiteflies,Low,53.2,Loamy,3.0
23.05,44.0,9.0,311.0,1.0,Filtered sunlight through curtain,23.4,54.8,Organic,26.0,Whiteflies,Low,30.8,Chalky,2.0
28.05,24.0,0.0,156.0,2.0,Filtered sunlight through curtain,20.5,71.2,Chemical,15.0,Fungus gnats,Low,47.2,Sandy,5.0
-0.02,34.0,2.0,300.0,2.0,Indirect light all day,28.4,50.1,Compost,9.0,Fungus gnats,Low,52.8,Sandy,5.0
9.67,42.0,7.0,473.0,2.0,Indirect light all day,22.1,35.1,Chemical,75.0,Whiteflies,High,25.5,Clay,5.0
47.96,7.0,7.0,270.0,2.0,Low light corner,18.5,33.1,Organic,21.0,Spider mites,High,29.6,Silty,1.0
19.93,32.0,3.0,428.0,6.0,Indirect light all day,28.0,32.6,Compost,15.0,Whiteflies,High,27.8,Loamy,3.0
-0.17,30.0,5.0,271.0,1.0,Low light corner,22.5,49.0,Chemical,11.0,Aphids,High,51.6,Chalky,5.0
10.5,34.0,7.0,307.0,6.0,3h direct morning sun,22.2,46.9,Liquid feed,74.0,Whiteflies,Moderate,12.2,Loamy,1.0
49.84,17.0,6.0,250.0,3.0,Indirect light all day,18.7,65.9,Compost,83.0,Aphids,High,25.4,Peaty,2.0
17.97,17.0,6.0,416.0,2.0,3h direct morning sun,29.2,67.1,Compost,50.0,Whiteflies,High,44.0,Clay,5.0
36.59,6.0,3.0,307.0,4.0,6h full sun,20.1,32.5,Compost,0.0,Fungus gnats,Low,38.3,Silty,5.0
26.21,41.0,8.0,398.0,5.0,Low light corner,24.2,41.1,Liquid feed,26.0,Fungus gnats,Moderate,31.8,Sandy,1.0
20.15,42.0,9.0,274.0,5.0,6h full sun,26.7,43.7,Liquid feed,66.0,Spider mites,Low,37.0,Loamy,3.0
32.75,6.0,5.0,251.0,6.0,Indirect light all day,25.3,57.4,Compost,11.0,Whiteflies,Moderate,19.9,Silty,2.0
1.16,40.0,2.0,275.0,6.0,3h direct morning sun,23.8,37.2,Chemical,29.0,Whiteflies,Low,31.5,Clay,5.0
10.59,30.0,4.0,285.0,4.0,Indirect light all day,18.9,36.7,Organic,8.0,Aphids,Moderate,35.1,Sandy,3.0
20.08,15.0,4.0,232.0,2.0,6h full sun,21.6,77.2,Liquid feed,52.0,Spider mites,Moderate,55.1,Loamy,2.0
11.57,12.0,4.0,249.0,1.0,Indirect light all day,24.6,70.2,Chemical,60.0,Whiteflies,Low,23.0,Chalky,4.0
19.19,48.0,7.0,406.0,3.0,Filtered sunlight through curtain,21.6,39.0,Liquid feed,53.0,Whiteflies,Moderate,53.4,Clay,4.0
33.54,44.0,8.0,295.0,5.0,6h full sun,24.6,50.3,Compost,36.0,Aphids,Moderate,42.2,Loamy,2.0
26.32,47.0,8.0,493.0,3.0,Indirect light all day,26.0,47.8,Chemical,64.0,Aphids,Low,11.0,Sandy,1.0
38.31,26.0,5.0,402.0,1.0,3h direct morning sun,26.9,69.6,Chemical,41.0,Fungus gnats,Low,46.2,Sandy,2.0
26.95,24.0,5.0,160.0,6.0,Indirect light all day,20.3,55.5,Organic,48.0,Whiteflies,Low,11.8,Chalky,2.0
34.92,12.0,8.0,55.0,5.0,3h direct morning sun,30.6,36.4,Organic,3.0,Spider mites,Low,59.9,Clay,1.0
24.36,33.0,3.0,285.0,3.0,Filtered sunlight through curtain,26.3,66.9,Liquid feed,63.0,Whiteflies,Moderate,53.6,Clay,1.0
19.1,44.0,5.0,176.0,6.0,Indirect light all day,24.0,49.8,Organic,78.0,Spider mites,Low,24.9,Silty,3.0
39.81,30.0,3.0,153.0,1.0,Filtered sunlight through curtain,27.3,43.1,Chemical,50.0,Whiteflies,Low,22.9,Loamy,3.0
17.91,34.0,0.0,286.0,3.0,6h full sun,31.1,48.8,Chemical,90.0,Aphids,Low,29.1,Silty,1.0
28.44,21.0,6.0,452.0,2.0,3h direct morning sun,19.7,54.9,Chemical,71.0,Aphids,Low,27.8,Sandy,4.0
32.69,24.0,9.0,204.0,6.0,6h full sun,23.3,47.2,Compost,59.0,Whiteflies,Low,28.6,Sandy,4.0
33.41,20.0,5.0,306.0,1.0,3h direct morning sun,16.9,42.1,Chemical,86.0,Whiteflies,Low,25.9,Chalky,2.0
13.35,47.0,8.0,284.0,3.0,Filtered sunlight through curtain,24.6,49.9,Liquid feed,78.0,Spider mites,Low,41.1,Chalky,5.0
35.52,11.0,6.0,338.0,2.0,Low light corner,25.1,31.0,Chemical,90.0,Whiteflies,Moderate,18.2,Clay,2.0
15.21,20.0,6.0,89.0,2.0,Indirect light all day,23.9,68.6,Compost,30.0,Spider mites,Moderate,52.3,Silty,2.0
33.11,49.0,1.0,337.0,1.0,Filtered sunlight through curtain,22.0,38.5,Liquid feed,71.0,Whiteflies,Low,50.6,Sandy,5.0
30.35,31.0,8.0,246.0,4.0,3h direct morning sun,17.9,32.2,Liquid feed,93.0,Aphids,High,33.8,Loamy,1.0
33.19,27.0,9.0,322.0,5.0,3h direct morning sun,25.1,62.7,Liquid feed,57.0,Aphids,Low,52.6,Peaty,4.0
12.95,28.0,8.0,431.0,1.0,3h direct morning sun,28.4,68.7,Organic,81.0,Aphids,Low,22.4,Loamy,2.0
30.88,13.0,5.0,313.0,2.0,3h direct morning sun,22.2,70.7,Liquid feed,3.0,Whiteflies,Moderate,10.9,Chalky,5.0
35.86,39.0,2.0,106.0,2.0,Indirect light all day,25.3,54.7,Organic,21.0,Whiteflies,Low,41.0,Loamy,3.0
26.93,24.0,0.0,347.0,1.0,6h full sun,19.3,40.3,Chemical,2.0,Fungus gnats,High,32.9,Sandy,2.0
16.81,41.0,3.0,147.0,4.0,Low light corner,25.4,66.9,Organic,78.0,Spider mites,Moderate,38.4,Silty,4.0
34.2,46.0,2.0,186.0,5.0,Indirect light all day,22.8,65.0,Liquid feed,98.0,Spider mites,High,55.0,Clay,1.0
26.14,21.0,0.0,425.0,3.0,3h direct morning sun,21.7,42.3,Chemical,46.0,Fungus gnats,Low,58.5,Silty,2.0
8.26,35.0,2.0,136.0,1.0,Indirect light all day,21.7,75.2,Chemical,37.0,Aphids,Low,41.7,Peaty,2.0
16.04,12.0,3.0,468.0,5.0,Filtered sunlight through curtain,22.8,35.2,Chemical,32.0,Spider mites,Low,48.2,Clay,5.0
19.74,19.0,7.0,291.0,5.0,3h direct morning sun,25.1,79.1,Liquid feed,77.0,Spider mites,Moderate,14.2,Peaty,3.0
40.06,35.0,8.0,248.0,6.0,Low light corner,20.1,73.0,Organic,47.0,Aphids,Low,18.0,Peaty,3.0
38.3,34.0,2.0,486.0,2.0,3h direct morning sun,22.8,64.4,Chemical,64.0,Whiteflies,Moderate,46.7,Sandy,1.0
38.27,24.0,5.0,359.0,3.0,Low light corner,23.9,76.9,Compost,25.0,Whiteflies,Moderate,31.6,Sandy,4.0
27.32,43.0,9.0,133.0,1.0,Low light corner,20.7,66.1,Liquid feed,7.0,Fungus gnats,Low,32.3,Chalky,1.0
34.14,16.0,4.0,291.0,2.0,6h full sun,29.4,39.5,Liquid feed,49.0,Whiteflies,Moderate,25.4,Chalky,2.0
13.59,21.0,5.0,330.0,6.0,6h full sun,21.4,52.1,Compost,79.0,Spider mites,Moderate,40.4,Peaty,2.0
25.07,46.0,3.0,372.0,6.0,Indirect light all day,22.0,33.6,Chemical,37.0,Spider mites,Low,19.3,Silty,3.0
29.52,34.0,9.0,301.0,2.0,Indirect light all day,21.1,49.5,Compost,9.0,Fungus gnats,High,41.3,Chalky,4.0
14.25,33.0,5.0,239.0,4.0,Low light corner,29.4,67.1,Chemical,41.0,Fungus gnats,Low,18.7,Sandy,5.0
27.1,23.0,6.0,488.0,5.0,3h direct morning sun,25.7,49.3,Organic,36.0,Spider mites,Low,13.2,Chalky,4.0
